== Sampling period: 500 us
== Test mode: periodic user-mode task
== All results in microseconds
warming up...
RTT|  00:00:01  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.358|     60.875|     86.944|       0|     0|      1.683|     98.787
RTD|      2.252|     62.614|     82.288|       0|     0|      1.683|     98.787
RTD|      2.359|     64.366|     85.801|       0|     0|      1.683|     98.787
RTD|      4.804|     66.004|     95.297|       0|     0|      1.683|     98.787
RTD|      4.943|     66.751|     86.238|       0|     0|      1.683|     98.787
RTD|      4.613|     67.115|     89.955|       0|     0|      1.683|     98.787
RTD|      4.381|     67.698|     90.399|       0|     0|      1.683|     98.787
RTD|      5.558|     67.246|     89.733|       0|     0|      1.683|     98.787
RTD|      3.904|     66.833|     89.779|       0|     0|      1.683|     98.787
RTD|      2.189|     46.066|     85.998|       0|     0|      1.683|     98.787
RTD|      2.399|     61.991|     86.610|       0|     0|      1.683|     98.787
RTD|      4.223|     64.066|     90.813|       0|     0|      1.683|     98.787
RTD|      2.498|     64.341|     94.748|       0|     0|      1.683|     98.787
RTD|      2.257|     54.908|     85.418|       0|     0|      1.683|     98.787
RTD|      2.413|     59.673|     84.361|       0|     0|      1.683|     98.787
RTD|      2.217|     64.403|     89.435|       0|     0|      1.683|     98.787
RTD|      2.454|     63.717|     90.107|       0|     0|      1.683|     98.787
RTD|      2.553|     61.776|     90.088|       0|     0|      1.683|     98.787
RTD|      2.232|     54.611|     86.538|       0|     0|      1.683|     98.787
RTD|      2.231|     63.989|     85.298|       0|     0|      1.683|     98.787
RTT|  00:05:16  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.412|     63.646|     85.499|       0|     0|      1.683|     98.787
RTD|      2.525|     64.362|     91.185|       0|     0|      1.683|     98.787
RTD|      2.243|     64.050|     85.918|       0|     0|      1.683|     98.787
RTD|      2.398|     64.023|     89.632|       0|     0|      1.683|     98.787
RTD|      2.408|     64.623|     85.769|       0|     0|      1.683|     98.787
RTD|      2.366|     65.792|     90.773|       0|     0|      1.683|     98.787
RTD|      3.485|     67.064|     88.835|       0|     0|      1.683|     98.787
RTD|      3.070|     65.170|     87.928|       0|     0|      1.683|     98.787
RTD|      2.312|     64.373|     85.245|       0|     0|      1.683|     98.787
RTD|      2.216|     63.828|     95.512|       0|     0|      1.683|     98.787
